导出, SHELL32.dll
序列	地址	名字
0000028A	B66B7408
0000028B	01DD0FFF
0000028C	7C696A7D
0000028D	4CDA0001
0000028E	E9DC9090
0000028F	00590003
00000290	0DE99090
00000291	7C8870E8
00000292	8D4F85F0
00000293	0A68C085
00000294	F74F8C1D
00000295	B05904C2
00000296	0AE43174
00000297	821B5DD8
00000298	87E906E8
00000299	6B415B5E
0000029A	0DE99090
0000029B	C1DF89FF
0000029C	E56575FF
0000029D	0271468B
0000029E	7D5CF254
0000029F	0271468B
000002A0	8119B70F
000002A1	CE585753
000002A2	B66B7408
000002A3	01DD0FFF
000002A4	7C696A7D
000002A5	4CDA0001
000002A6	E9DC9090
000002A7	00590003
000002A8	0DE99090
000002A9	7D5A58E8
000002AA	84E105C7
000002AB	8D4F85F0
000002AC	0A68C085
000002AD	F74F8C1D
000002AE	B05904C2
000002AF	0AE43174
000002B0	821B5DD8
000002B1	87E906E8
000002B2	6B415B5E
000002B3	0DE99090
000002B4	C1DF89FF
000002B5	E56575FF
000002B6	7D5C70A3
000002B7	0271468B
000002B8	8119B70F
000002B9	CE585753
000002BA	7D5902D2
000002BB	0DE99090
000002BC	7C8870E8
000002BD	8D4F85F0
000002BE	0A68C085
000002BF	F74F8C1D
000002C0	B05904C2
000002C1	C1DF89FF
000002C2	E56575FF
000002C3	0271468B
000002C4	8D4F85F0
000002C5	0A68C085
000002C6	F74F8C1D
000002C7	B05904C2
000002C8	C1DF89FF
000002C9	E56575FF
000002CA	0271468B
000002CB	7D5CF254
000002CC	0271468B
000002CD	8119B70F
000002CE	CE585753
000002CF	7D5902D2
000002D0	0DE99090
000002D1	7D5A58E8
000002D2	84E105C7
000002D3	8D4F85F0
000002D4	0A68C085
000002D5	F74F8C1D
000002D6	B05904C2
000002D7	C1DF89FF
000002D8	E56575FF
000002D9	08E99090
000002DA	0268027D
000002DB	7D5B408F
000002DC	859F89FF
000002DD	8D4F85F0
000002DE	0A68C085
000002DF	F74F8C1D
000002E0	B05904C2
000002E1	C1DF89FF
000002E2	E56575FF
000002E3	08E99090
000002E4	0268027D
000002E5	7D5B408F
000002E6	0DE99090
000002E7	8D4F85F0
000002E8	0A68C085
000002E9	F74F8C1D
000002EA	B05904C2
000002EB	C1DF89FF
000002EC	E56575FF
000002ED	7D5C70A3
000002EE	0271468B
000002EF	8119B70F
000002F0	CE585753
000002F1	E559C708
000002F2	7142FFFE
000002F3	7C49858B

